CUSTOMER_TYPE,ACC_NAME,ACC_ID,CORE_FLAG,INTERACTIN_TYPE,MEEING_TYPE,SCORE,KOL_RATING,CALL_STATUS,ACTIVTY,REGION,THERAPY,MSL_DESIGNATION,MSL_NAME,MSL_ID,CALL_ID,CREATE_DATE,ADDRESS,CITY,COUNTRY
HCP,Clari Sailes,aa10jh9213S668984CvDZSMN,Core OL,Online,Ad Board,Potential,0.771678728,Planned,Scientific Priority 3,US,Therapy 1,MSL,Shane,1293Q881236LqRhDIK,t77TS98995YSig7IYE,22-06-2024,68095 Eastlawn Place,Amarillo,United States
HCP,Mair Merricks,aa10jh9543B680897CvDZSMN,Core OL,Online,MSL Led Scientific Meeting,Potential,0.693727013,Interacted,Scientific Priority 3,US,Therapy 2,MSL,Shane,1293Q881236LqRhDIK,t77TS98995YSiiiIYE,26-06-2024,5 Grasskamp Court,Amarillo,United States
HCP,Cass Biesinger,aa10jh9503D723665CvDZSMN,Non Core OL,Call,MSL Led Scientific Meeting,,,Planned,Scientific Priority 1,US,Therapy 1,MSL,Robin,1293Q881236XqikDIC,t77TS98995YSiiiIYE,06-01-2024,9 Dawn Hill,Amarillo,United States
HCP,Cece Likly,aa10jh9240Z702174CvDZSMN,Core OL,Mail,MSL Led Scientific Meeting,International,0.564764234,Planned,Scientific Priority 1,US,Therapy 2,MSL,Shane,1293Q881236LqRhDIK,t77TS98995YSil0IYE,03-07-2024,88161 Ronald Regan Circle,Anaheim,United States
HCP,Maire Pogue,aa10jh9215B700052CvDZSMN,Non Core OL,In person,MSL Led Scientific Meeting,,,Interacted,Scientific Priority 1,US,Therapy 2,MSL,Robin,1293Q881236XqikDIC,t77TS98995YSifsIYE,29-01-2024,5114 Maple Wood Circle,Anchorage,United States
HCP,Chelsy Ramshaw,aa10jh9182C672615CvDZSMN,Non Core OL,Call,Ad Board,,,Interacted,Scientific Priority 3,US,Therapy 1,MSL,Robin,1293Q881236XqikDIC,t77TS98995YSig2IYE,27-04-2024,1 Westend Circle,Anchorage,United States
HCP,Zola Otter,aa10jh9132D720385CvDZSMN,Core OL,Call,Ad Board,Sub-national,0.679609016,Interacted,Scientific Priority 2,US,Therapy 3,MSL,Shane,1293Q881236LqRhDIK,t77TS98995YSiohIYE,30-05-2024,187 Sutherland Plaza,Anchorage,United States
HCP,Emlen Marden,aa10jh9342T660363CvDZSMN,Core OL,In person,Congress,Potential,0.781329654,Planned,Scientific Priority 3,US,Therapy 2,MSL,Shane,1293Q881236LqRhDIK,t77TS98995YSiEFIYS,27-06-2024,29 Lakewood Terrace,Anderson,United States
HCP,Mira Mabee,aa10jh9739B652996CvDZSMN,Non Core OL,Call,Congress,,,Planned,Scientific Priority 1,US,Therapy 2,MSL,Robin,1293Q881236XqikDIC,t77TS98995YSiq0IYE,10-03-2024,20 Farmco Lane,Anderson,United States
HCP,Dorian Dackombe,aa10jh9997C793631CvDZSMN,Core OL,Mail,Ad Board,Sub-national,0.638058339,Interacted,Scientific Priority 2,US,Therapy 3,MSL,Shane,1293Q881236LqRhDIK,t77TS98995YSirEIYS,16-06-2024,2 Arkansas Parkway,Anderson,United States
HCP,Knox Coxen,aa10jh9558X693409CvDZSMN,Core OL,Mail,Congress,International,0.711010906,Interacted,Scientific Priority 4,US,Therapy 1,MSL,Shane,1293Q881236LqRhDIK,t77TS98995YSilSIYS,12-02-2024,1 Walton Lane,Ann Arbor,United States
HCP,Clyde Hyne,aa10jh9910X708526CvDZSMN,Core OL,Call,MSL Commercial,Potential,0.747053048,Interacted,Scientific Priority 1,US,Therapy 2,MSL,Shane,1293Q881236LqRhDIK,t77TS98995YSirUIYS,26-01-2024,19279 Sheridan Trail,Ann Arbor,United States
HCP,Leone Backshell,aa10jh9952O669323CvDZSMN,Core OL,In person,Ad Board,International,0.644829306,Planned,Scientific Priority 2,US,Therapy 3,MSL,Dimtri,1293Q881236LqelDIC,t77TS98995YSijHIYS,12-04-2024,723 Park Meadow Terrace,Arlington,United States
HCP,Ara Morritt,aa10jh9339O650567CvDZSMN,Core OL,Mail,MSL Led Scientific Meeting,Sub-national,0.501303083,Interacted,Scientific Priority 3,US,Therapy 3,MSL,Dimtri,1293Q881236LqelDIC,t77TS98995YSis8IYE,07-02-2024,681 Elka Terrace,Arlington,United States
HCP,Linnell Bratchell,aa10jh9950W669042CvDZSMN,Core OL,In person,Congress,National,0.548881865,Interacted,Scientific Priority 1,US,Therapy 3,MSL,Dimtri,1293Q881236LqelDIC,t77TS98995YSikUIYS,02-04-2024,62740 Pankratz Junction,Arlington,United States
HCP,Clement Stribbling,aa10jh9339E669608CvDZSMN,Core OL,Mail,Congress,National,0.562352116,Interacted,Scientific Priority 3,US,Therapy 1,MSL,Dimtri,1293Q881236LqelDIC,t77TS98995YSitEIYE,19-01-2024,90 Stang Trail,Arlington,United States
HCP,Elnora Lilbourne,aa10jh9764N723240CvDZSMN,Core OL,Online,MSL Led Scientific Meeting,Potential,0.627051252,Planned,Scientific Priority 3,US,Therapy 2,MSL,Dimtri,1293Q881236LqelDIC,t77TS98995YSisDIYS,05-01-2024,67 Oak Valley Hill,Arlington,United States
HCP,Leif Brackstone,aa10jh9204O771987CvDZSMN,Non Core OL,In person,MSL Commercial,,,Interacted,Scientific Priority 1,US,Therapy 1,MSL,Robin,1293Q881236XqikDIC,t77TS98995YSiekIYE,04-06-2024,3134 Memorial Trail,Arlington,United States
HCP,Isa Dilston,aa10jh9061C709987CvDZSMN,Non Core OL,Call,MSL Led Scientific Meeting,,,Planned,Scientific Priority 4,US,Therapy 2,MSL,Robin,1293Q881236XqikDIC,t77TS98995YSileIYE,22-03-2024,184 Ludington Trail,Arlington,United States
HCP,Kris Truluck,aa10jh9473D763375CvDZSMN,Non Core OL,Call,Ad Board,,,Interacted,Scientific Priority 1,US,Therapy 2,MSL,Robin,1293Q881236XqikDIC,t77TS98995YSivEIYE,12-01-2024,602 Cambridge Hill,Ashburn,United States
HCP,Duffie Ferran,aa10jh9876M721360CvDZSMN,Non Core OL,Online,MSL Led Scientific Meeting,,,Interacted,Scientific Priority 1,US,Therapy 2,MSL,Robin,1293Q881236XqikDIC,t77TS98995YSiwJIYS,04-03-2024,341 Northwestern Plaza,Asheville,United States
HCP,Rickie Illingsworth,aa10jh9409O772858CvDZSMN,Core OL,Mail,MSL Commercial,National,0.633910137,Interacted,Scientific Priority 3,US,Therapy 1,MSL,Dimtri,1293Q881236LqelDIC,t77TS98995YSiwOIYS,18-04-2024,58880 Butternut Pass,Athens,United States
HCP,Mauricio Dunbobin,aa10jh9934C672781CvDZSMN,Core OL,In person,MSL Commercial,Potential,0.771922958,Interacted,Scientific Priority 3,US,Therapy 2,MSL,Dimtri,1293Q881236LqelDIC,t77TS98995YSiwYIYS,11-01-2024,8810 Summer Ridge Hill,Athens,United States
HCP,Read Vaughan,aa10jh9754R675139CvDZSMN,Non Core OL,Call,MSL Led Scientific Meeting,,,Interacted,Scientific Priority 4,US,Therapy 1,MSL,Denver,1293Q881236LqLDIA0,t77TS98995YSix2IYE,03-02-2024,779 Helena Crossing,Atlanta,United States
HCP,Ertha Sample,aa10jh9156I759540CvDZSMN,Non Core OL,Call,MSL Commercial,,,Planned,Scientific Priority 1,US,Therapy 3,MSL,Denver,1293Q881236LqLDIA0,t77TS98995YSixWIYS,24-04-2024,983 Rowland Circle,Atlanta,United States
HCP,Lionello Tout,aa10jh9898H737276CvDZSMN,Non Core OL,Call,MSL Commercial,,,Planned,Scientific Priority 2,US,Therapy 1,MSL,Denver,1293Q881236LqLDIA0,t77TS98995YSiiwIYE,23-01-2024,80156 Sheridan Alley,Atlanta,United States
HCP,Hollis Ravillas,aa10jh9514R700996CvDZSMN,Core OL,Online,Congress,Sub-national,0.689359711,Planned,Scientific Priority 3,US,Therapy 3,MSL,Dimtri,1293Q881236LqelDIC,t77TS98995YSiSSIYE,30-03-2024,14657 Mcguire Hill,Atlanta,United States
HCP,Cord Vida,aa10jh9786Z659112CvDZSMN,Core OL,Online,MSL Commercial,National,0.78090216,Interacted,Scientific Priority 2,US,Therapy 3,MSL,Dimtri,1293Q881236LqelDIC,t77TS98995YSioSIYE,18-04-2024,9 Anzinger Parkway,Atlanta,United States
HCP,Edith Penvarne,aa10jh9833Z660227CvDZSMN,Non Core OL,Online,MSL Commercial,,,Interacted,Scientific Priority 4,US,Therapy 3,MSL,Denver,1293Q881236LqLDIA0,t77TS98995YSiEvIYE,05-02-2024,0466 Rockefeller Pass,Atlanta,United States
HCP,Karney Rillett,aa10jh9589N737590CvDZSMN,Core OL,In person,Ad Board,National,0.729960323,Planned,Scientific Priority 1,US,Therapy 2,MSL,Alen,1293Q8812373uiPDIQ,t77TS98995YSiyeIYE,18-02-2024,99837 Aberg Hill,Atlanta,United States
HCP,Othilia Calcutt,aa10jh9826M666292CvDZSMN,Non Core OL,In person,Ad Board,,,Interacted,Scientific Priority 2,US,Therapy 1,MSL,Denver,1293Q881236LqLDIA0,t77TS98995YSv06IYE,17-05-2024,554 Artisan Park,Atlanta,United States
HCP,Yvette Fruish,aa10jh9705L777497CvDZSMN,Core OL,Call,MSL Commercial,National,0.706161904,Interacted,Scientific Priority 2,US,Therapy 1,MSL,Alen,1293Q8812373uiPDIQ,t77TS98995YSiyyIYE,10-02-2024,1719 Mallard Terrace,Atlanta,United States
HCP,Teri Rickard,aa10jh9161G663093CvDZSMN,Core OL,Call,Ad Board,International,0.454616355,Interacted,Scientific Priority 3,US,Therapy 2,MSL,Alen,1293Q8812373uiPDIQ,t77TS98995YSivfIYE,02-07-2024,1825 Upham Crossing,Atlanta,United States
HCP,Clarey Gronauer,aa10jh9706Q734937CvDZSMN,Non Core OL,In person,Congress,,,Interacted,Scientific Priority 3,US,Therapy 1,MSL,Denver,1293Q881236LqLDIA0,t77TS98995YSv0GIYS,19-02-2024,2355 Sheridan Crossing,Atlanta,United States
HCP,Brier Ledson,aa10jh9949U672032CvDZSMN,Core OL,Online,MSL Led Scientific Meeting,Sub-national,0.747657612,Interacted,Scientific Priority 4,US,Therapy 2,MSL,Alen,1293Q8812373uiPDIQ,t77TS98995YSv0YIYE,08-04-2024,68014 Prentice Avenue,Atlanta,United States
HCP,Edan Bocke,aa10jh9760T670870CvDZSMN,Core OL,In person,Congress,International,0.643771702,Interacted,Scientific Priority 1,US,Therapy 1,MSL,Alen,1293Q8812373uiPDIQ,t77TS98995YSv14IYE,12-04-2024,2 Montana Pass,Atlanta,United States
HCP,Augusto Escofier,aa10jh9423J785284CvDZSMN,Non Core OL,Call,MSL Led Scientific Meeting,,,Interacted,Scientific Priority 2,US,Therapy 1,MSL,Denver,1293Q881236LqLDIA0,t77TS98995YSv1EIYS,15-01-2024,34533 Surrey Hill,Atlanta,United States
HCP,Taffy Knotte,aa10jh9833O764700CvDZSMN,Non Core OL,Call,Congress,,,Interacted,Scientific Priority 4,US,Therapy 1,MSL,Gloria,1293Q881236Un3kDIC,t77TS98995YSix7IYE,19-01-2024,84 Golf Course Alley,Augusta,United States
HCP,Marcelline Shawe,aa10jh9886A764893CvDZSMN,Non Core OL,Call,Ad Board,,,Interacted,Scientific Priority 4,US,Therapy 1,MSL,Gloria,1293Q881236Un3kDIC,t77TS98995YSv4IIYS,31-01-2024,743 Eastlawn Parkway,Augusta,United States
HCP,Jimmie Longland,aa10jh9031Y652636CvDZSMN,Non Core OL,Online,Congress,,,Interacted,Scientific Priority 2,US,Therapy 2,MSL,Gloria,1293Q881236Un3kDIC,t77TS98995YSirKIYS,20-01-2024,15936 Summerview Park,Austin,United States
HCP,Franklyn Keavy,aa10jh9405A708521CvDZSMN,Non Core OL,Online,Congress,,,Planned,Scientific Priority 4,US,Therapy 3,MSL,Gloria,1293Q881236Un3kDIC,t77TS98995YSv2vIYE,12-04-2024,23 Barby Terrace,Austin,United States
HCP,Ginnifer Allinson,aa10jh9444E716065CvDZSMN,Core OL,Mail,MSL Commercial,Potential,0.650410598,Interacted,Scientific Priority 3,US,Therapy 1,MSL,Alen,1293Q8812373uiPDIQ,t77TS98995YSv2qIYE,02-07-2024,99 Carpenter Pass,Austin,United States
HCP,Conant Coster,aa10jh9377L670333CvDZSMN,Non Core OL,In person,MSL Led Scientific Meeting,,,Interacted,Scientific Priority 3,US,Therapy 2,MSL,Gloria,1293Q881236Un3kDIC,t77TS98995YSv80IYE,03-01-2024,47 Alpine Trail,Austin,United States
HCP,Meriel Bowle,aa10jh9373Q728686CvDZSMN,Core OL,Mail,MSL Led Scientific Meeting,Potential,0.572107876,Interacted,Scientific Priority 3,US,Therapy 3,MSL,Alen,1293Q8812373uiPDIQ,t77TS98995YSivLIYS,11-04-2024,2599 Grasskamp Trail,Austin,United States
HCP,Udell Dearness,aa10jh9629V763331CvDZSMN,Non Core OL,Call,MSL Led Scientific Meeting,,,Interacted,Scientific Priority 4,US,Therapy 2,MSL,Gloria,1293Q881236Un3kDIC,t77TS98995YSv8FIYS,09-03-2024,0561 Oakridge Hill,Austin,United States
HCP,Coretta Nye,aa10jh9742B658847CvDZSMN,Non Core OL,Call,MSL Led Scientific Meeting,,,Interacted,Scientific Priority 2,US,Therapy 1,MSL,Gloria,1293Q881236Un3kDIC,t77TS98995YSv8eIYE,16-02-2024,895 Sutteridge Pass,Austin,United States
HCP,Fairlie Itzcak,aa10jh9002G793439CvDZSMN,Non Core OL,Mail,MSL Commercial,,,Interacted,Scientific Priority 2,US,Therapy 3,MSL,Gloria,1293Q881236Un3kDIC,t77TS98995YSv85IYE,11-04-2024,0 Kingsford Alley,Austin,United States
HCP,Darnell Beesey,aa10jh9535Z739140CvDZSMN,Core OL,Mail,MSL Commercial,National,0.678722754,Interacted,Scientific Priority 1,US,Therapy 2,MSL,Alen,1293Q8812373uiPDIQ,t77TS98995YSv93IYE,14-06-2024,6 Boyd Alley,Austin,United States
HCP,Marylou Eric,aa10jh9319C736152CvDZSMN,Non Core OL,Call,Congress,,,Interacted,Scientific Priority 2,US,Therapy 1,MSL,Kevin,1293Q881236VMrzDIG,t77TS98995YSv9NIYS,05-06-2024,33467 John Wall Avenue,Bakersfield,United States
HCP,Torin Baruch,aa10jh9123N779317CvDZSMN,Non Core OL,Online,Congress,,,Interacted,Scientific Priority 1,US,Therapy 3,MSL,Kevin,1293Q881236VMrzDIG,t77TS98995YSvYQIYS,12-04-2024,5 Union Way,Bakersfield,United States
HCP,Lynne Murthwaite,aa10jh9002I739950CvDZSMN,Core OL,Mail,Congress,Sub-national,0.500030811,Interacted,Scientific Priority 3,US,Therapy 1,MSL,Alen,1293Q8812373uiPDIQ,t77TS98995YSvYQIYS,16-04-2024,0 Transport Park,Bakersfield,United States
HCP,Babbette Oldall,aa10jh9489Z738051CvDZSMN,Non Core OL,In person,Ad Board,,,Interacted,Scientific Priority 1,US,Therapy 1,MSL,Kevin,1293Q881236VMrzDIG,t77TS98995YSih1IYE,14-03-2024,76847 Loftsgordon Street,Bakersfield,United States
HCP,Cecilio Markie,aa10jh9638Y711198CvDZSMN,Non Core OL,Mail,Ad Board,,,Interacted,Scientific Priority 4,US,Therapy 2,MSL,Kevin,1293Q881236VMrzDIG,t77TS98995YSih1IYE,07-04-2024,242 Brown Court,Bakersfield,United States
HCP,Persis Joberne,aa10jh9698U785382CvDZSMN,Core OL,Online,Congress,Sub-national,0.76112356,Interacted,Scientific Priority 3,US,Therapy 1,MSL,Alen,1293Q8812373uiPDIQ,t77TS98995YSiqSIYS,22-06-2024,1 Nova Center,Bakersfield,United States
HCP,Bel Slorach,aa10jh9039W657682CvDZSMN,Non Core OL,In person,MSL Commercial,,,Interacted,Scientific Priority 1,US,Therapy 2,MSL,Kevin,1293Q881236VMrzDIG,t77TS98995YSiqSIYS,05-02-2024,0324 West Park,Baltimore,United States
HCP,Morty Feldstern,aa10jh9559X749235CvDZSMN,Non Core OL,In person,Ad Board,,,Interacted,Scientific Priority 4,US,Therapy 2,MSL,Kevin,1293Q881236VMrzDIG,t77TS98995YSiroIYE,09-01-2024,0 Kropf Way,Baltimore,United States
HCP,Augie Grestye,aa10jh9203R754704CvDZSMN,Non Core OL,Mail,Congress,,,Interacted,Scientific Priority 2,US,Therapy 3,MSL,Kevin,1293Q881236VMrzDIG,t77TS98995YSiroIYE,25-06-2024,74 2nd Park,Baltimore,United States
HCP,Rosmunda Cereceres,aa10jh9188F650439CvDZSMN,Non Core OL,Mail,Congress,,,Interacted,Scientific Priority 1,US,Therapy 2,MSL,Kevin,1293Q881236VMrzDIG,t77TS98995YSiroIYE,25-04-2024,8 Ridgeview Park,Baltimore,United States
HCP,Kalinda Drinkall,aa10jh9697F699630CvDZSMN,Core OL,In person,Congress,Potential,0.448945576,Interacted,Scientific Priority 2,US,Therapy 2,MSL,Steve,889QC45452LjIZLIA3,t77TS98995YSv4DIYS,31-01-2024,6 Spohn Alley,Baton Rouge,United States
HCP,Franciskus Advani,aa10jh9342Z798063CvDZSMN,Core OL,Call,MSL Led Scientific Meeting,Sub-national,0.479656523,Planned,Scientific Priority 3,US,Therapy 3,MSL,Steve,889QC45452LjIZLIA3,t77TS98995YSv4DIYS,03-03-2024,4 Welch Center,Baton Rouge,United States
HCP,June Thirlwall,aa10jh9831W731899CvDZSMN,Core OL,Call,MSL Commercial,Potential,0.472278324,Planned,Scientific Priority 4,US,Therapy 1,MSL,Steve,889QC45452LjIZLIA3,t77TS98995YSv4DIYS,14-01-2024,462 Hazelcrest Trail,Baton Rouge,United States
HCP,Gretchen Dudbridge,aa10jh9254U687962CvDZSMN,Non Core OL,In person,MSL Led Scientific Meeting,,,Interacted,Scientific Priority 4,US,Therapy 1,MSL,Steve,889QC45452LjIZLIA3,t77TS98995YSv7SIYS,29-04-2024,025 Continental Way,Baton Rouge,United States
HCP,Arden Wholesworth,aa10jh9624B777508CvDZSMN,Non Core OL,Call,Ad Board,,,Interacted,Scientific Priority 4,US,Therapy 2,MSL,Steve,889QC45452LjIZLIA3,t77TS98995YSv7SIYS,07-03-2024,8557 Superior Alley,Baton Rouge,United States
HCP,Gusty Tucsell,aa10jh9829H728432CvDZSMN,Core OL,Mail,MSL Led Scientific Meeting,National,0.679398975,Interacted,Scientific Priority 4,US,Therapy 1,MSL,Steve,889QC45452LjIZLIA3,t77TS98995YSvYiIYJ,26-03-2024,1 Mifflin Lane,Baton Rouge,United States
HCP,Karly Westmore,aa10jh9769G791120CvDZSMN,Core OL,Mail,Ad Board,International,0.772023724,Interacted,Scientific Priority 1,US,Therapy 3,MSL,Steve,889QC45452LjIZLIA3,t77TS98995YSvE4IYJ,09-02-2024,473 Claremont Avenue,Beaumont,United States
HCP,Rudy Tomaszynski,aa10jh9826E663738CvDZSMN,Non Core OL,In person,MSL Led Scientific Meeting,,,Interacted,Scientific Priority 2,US,Therapy 1,MSL,Steve,889QC45452LjIZLIA3,t77TS98995YSvE9IYJ,24-06-2024,02012 Rieder Plaza,Bethesda,United States
HCP,Bay Semarke,aa10jh9426E780368CvDZSMN,Non Core OL,Call,MSL Commercial,,,Interacted,Scientific Priority 3,US,Therapy 1,MSL,Amanda,1293Q88123708K2DII,t77TS98995YSvEnIYJ,05-03-2024,4282 Roth Street,Birmingham,United States
HCP,Sayre Kitlee,aa10jh9091W789825CvDZSMN,Non Core OL,Call,MSL Commercial,,,Planned,Scientific Priority 4,US,Therapy 3,MSL,Amanda,1293Q88123708K2DII,t77TS98995YSvS7IYJ,28-03-2024,58 Montana Road,Birmingham,United States
HCP,Reade Trouel,aa10jh9735E680197CvDZSMN,Non Core OL,In person,MSL Commercial,,,Interacted,Scientific Priority 2,US,Therapy 3,MSL,Amanda,1293Q88123708K2DII,t77TS98995YSvSSIYS,03-03-2024,065 Golf View Point,Birmingham,United States
HCP,Reggie Hatherley,aa10jh9769D707609CvDZSMN,Non Core OL,Mail,MSL Led Scientific Meeting,,,Interacted,Scientific Priority 1,US,Therapy 1,MSL,Amanda,1293Q88123708K2DII,t77TS98995YSv3yIYE,10-04-2024,72 Granby Street,Birmingham,United States
HCP,Giles Christensen,aa10jh9508Q663240CvDZSMN,Non Core OL,Online,MSL Commercial,,,Planned,Scientific Priority 1,US,Therapy 1,MSL,Amanda,1293Q88123708K2DII,t77TS98995YSvSvIYJ,06-04-2024,7 Fisk Crossing,Birmingham,United States
HCP,Greggory Edgcombe,aa10jh10000P678877CvDZSMN,Core OL,In person,MSL Led Scientific Meeting,Sub-national,0.794972674,Planned,Scientific Priority 3,US,Therapy 3,MSL,Alen,1293Q8812373uiPDIQ,t77TS98995YSvDKIYS,21-03-2024,3 Bluejay Crossing,Birmingham,United States
HCP,Gib Benedek,aa10jh9797L696637CvDZSMN,Non Core OL,Call,MSL Commercial,,,Interacted,Scientific Priority 1,US,Therapy 3,MSL,Amanda,1293Q88123708K2DII,t77TS98995YSvDWIYS,19-05-2024,23 Myrtle Plaza,Birmingham,United States
HCP,Cameron Fludgate,aa10jh9830H703539CvDZSMN,Non Core OL,In person,MSL Led Scientific Meeting,,,Planned,Scientific Priority 3,US,Therapy 1,MSL,Amanda,1293Q88123708K2DII,t77TS98995YSvSWIYS,01-04-2024,7851 Forster Junction,Birmingham,United States
HCP,Darrin Wedmore,aa10jh9977Q795274CvDZSMN,Core OL,Mail,Congress,International,0.429271073,Interacted,Scientific Priority 1,US,Therapy 2,MSL,Alen,1293Q8812373uiPDIQ,t77TS98995YSvFXIYS,13-02-2024,957 Bartelt Crossing,Birmingham,United States
