THERAPY_TYPE,NAME,COMPOUND__C,CATEGORIES,HCP_ACC,INDICATIONS,CALL_ID,THERAPY_K_TOPIC,THERAPY_TYPE_KEY_ASPECTS,INTERACTION_NUMBER,INTERACTION_STAT,INTERACTION_TYPE,MSL_ID,MSL_NAME,CREATED_DATE,HCP_NUMBER,TL,NPI_NO__PC
Therapy 1,Therapy-9244884,Compound 2,Category1,0029y00000g1W1fAAE,Indication 1,v78TR98995YRxT8IYJ,Topic 1,Aspect 3,AL736365,Submitted,Face to Face,1293Q881236LqLDIA0,18,"Saturday, March 2, 2024",Haskell Soldi,TL,283955620
Therapy 1,Therapy-9244546,Compound 2,Category1,0029y00000YQ5tGAAT,Indication 1,v78TR98995YRxnhIYE,Topic 1,Aspect 1,AL735793,Submitted,Face to Face,1293Q881236LqRJDI0,10,"Friday, February 16, 2024",Adolphe Lorens,Others,307729337
Therapy 1,Therapy-9244559,Compound 2,Category1,0029y00000g1KOQAA2,Indication 1,v78TR98995YRxkoIYE,Topic 1,Aspect 3,AL734715,Submitted,Telephone,1293Q8812373uiFDIQ,21,"Monday, February 19, 2024",Ruprecht McGilvra,Others,254757904
Therapy 1,Therapy-9244562,Compound 2,Category1,0029y00000m5eaLAAQ,Indication 1,v78TR98995YRxdRIYE,Topic 1,Aspect 1,AL735172,Submitted,Telephone,1293Q881236LqRJDI0,24,"Monday, February 19, 2024",Loreen Delaprelle,Others,295770317
Therapy 1,Therapy-9244563,Compound 2,Category1,0029y00000m5eaLAAQ,Indication 1,v78TR98995YRxoGIYR,Topic 1,Aspect 3,AL735177,Submitted,Telephone,1293Q881236LqRjDIK,20,"Monday, February 19, 2024",Kermie Vela,Others,297220511
Therapy 1,Therapy-9244951,Compound 2,Category1,0029y00000g1Z6YAAU,Indication 1,v78TR98995YRxlmIYE,Topic 1,Aspect 1,AL736479,Submitted,VC,1293Q881236LqRjDIK,30,"Wednesday, March 6, 2024",James Andrewartha,Others,223204781
Therapy 1,Therapy-9244961,Compound 2,Category1,0029y00000g1PAzAAM,Indication 1,v78TR98995YRxEkIYE,Topic 1,Aspect 3,AL736483,Submitted,VC,1293Q881236UtQ9DIK,11,"Wednesday, March 6, 2024",Daniele Dundon,TL,225050751
Therapy 1,Therapy-9244574,Compound 2,Category1,0029y00002BxbC6AAJ,Indication 1,v78TR98995YRxlwIYE,Topic 1,Aspect 1,AL733788,Submitted,Face to Face,1293Q881236LqikDIC,21,"Tuesday, February 20, 2024",Rickey Skettles,Others,282381633
Therapy 1,Therapy-9244583,Compound 2,Category1,0029y00000m5mnJAAQ,Indication 1,v78TR98995YRxt1IYE,Topic 1,Aspect 3,AL735678,Submitted,Telephone,1293Q881236LqRjDIK,13,"Tuesday, February 20, 2024",Ari Sparke,Others,275534967
Therapy 1,Therapy-9244973,Compound 2,Category1,0029y00001CSWfaAAH,Indication 1,v78TR98995YRxtGIYR,Topic 1,Aspect 3,AL736513,Submitted,Face to Face,1293Q881236LqikDIC,1,"Thursday, March 7, 2024",Nancee Doget,TL,244141632
Therapy 1,Therapy-9251452,Compound 2,Category1,0029y00000g1RlbAAE,Indication 1,v78TR98995YRxtfIYE,Topic 1,Aspect 3,AL736609,Submitted,Face to Face,1293Q881236UtQ9DIK,8,"Monday, March 11, 2024",Liz Farish,Others,275257446
Therapy 1,Therapy-9251453,Compound 2,Category1,0029y00000g1RlbAAE,Indication 1,v78TR98995YRxEuIYE,Topic 1,Aspect 1,AL736606,Submitted,Face to Face,1293Q8812373uiFDIQ,2,"Monday, March 11, 2024",Dyana Tryme,Others,254659062
Therapy 1,Therapy-925012,Compound 2,Category1,0029y00001CSWh6AAH,Indication 1,v78TR98995YRxqJIYR,Topic 1,Aspect 3,AL736611,Submitted,Face to Face,1293Q8812373uiFDIQ,30,"Monday, March 11, 2024",Seka Tackett,TL,298793863
Therapy 1,Therapy-925013,Compound 2,Category1,0029y00001CSWh6AAH,Indication 1,v78TR98995YRxvRIYE,Topic 1,Aspect 1,AL736617,Submitted,Face to Face,1293Q881236UtQ9DIK,23,"Monday, March 11, 2024",Marlowe Wase,TL,249701263
Therapy 1,Therapy-925017,Compound 2,Category1,0029y00000m4sWNAAY,Indication 1,v78TR98995YRxl8IYE,Topic 1,Aspect 3,AL736621,Submitted,Face to Face,1293Q881236UtQ9DIK,18,"Monday, March 11, 2024",Davida Chooter,Others,240603151
Therapy 1,Therapy-925036,Compound 2,Category1,0029y00000YRePaAAL,Indication 1,v78TR98995YRxyNIYR,Topic 1,Aspect 1,AL736632,Submitted,Telephone,1293Q881236LqRjDIK,2,"Tuesday, March 12, 2024",Katerine Melbourne,,280255263
Therapy 1,Therapy-925037,Compound 2,Category1,0029y00000YRePaAAL,Indication 1,v78TR98995YRxywIYE,Topic 1,Aspect 3,AL736639,Submitted,Telephone,1293Q881236LqRjDIK,11,"Tuesday, March 12, 2024",Gavin McGlade,,240916204
Therapy 1,Therapy-925050,Compound 2,Category1,0029y00000m5X6HAAU,Indication 1,v78TR98995YRxv8IYE,Topic 1,Aspect 3,AL734497,Submitted,Face to Face,1293Q8812373uiPDIQ,3,"Tuesday, March 12, 2024",Vaughn Ormesher,TL,243542569
Therapy 1,Therapy-925051,Compound 2,Category1,0029y00000m61bOAAQ,Indication 1,v78TR98995YRy0eIYE,Topic 1,Aspect 1,AL734490,Submitted,Face to Face,1293Q881236LqelDIC,18,"Tuesday, March 12, 2024",Neron Polendine,Others,243027978
Therapy 1,Therapy-925054,Compound 2,Category1,0029y00000g1ESLAA2,Indication 1,v78TR98995YRy1hIYE,Topic 1,Aspect 1,AL734498,Submitted,Face to Face,1293Q881236LqelDIC,27,"Tuesday, March 12, 2024",Annamarie Basson,TL,261622071
Therapy 1,Therapy-925055,Compound 2,Category1,0029y00001PQtWmAAL,Indication 1,v78TR98995YRxvRIYE,Topic 1,Aspect 1,AL734495,Submitted,Face to Face,1293Q881236LqLDIA0,3,"Tuesday, March 12, 2024",Lawton Jaksic,Others,273490736
Therapy 1,Therapy-925056,Compound 2,Category1,0029y00001CSWq8AAH,Indication 1,v78TR98995YRy9eIYE,Topic 1,Aspect 1,AL734491,Submitted,Face to Face,1293Q881236LqLDIA0,14,"Tuesday, March 12, 2024",Anthia McLeish,TL,280422933
Therapy 1,Therapy-925079,Compound 2,Category1,0029y00002H3fqjAAB,Indication 1,v78TR98995YRxtVIYR,Topic 1,Aspect 3,AL736703,Submitted,Face to Face,1293Q881236LqRhDIK,27,"Wednesday, March 13, 2024",Terrye Bullimore,Others,308612433
Therapy 1,Therapy-925083,Compound 2,Category1,0029y00000g1ZAgAAM,Indication 1,v78TR98995YwR1hIYE,Topic 1,Aspect 2,AL736704,Submitted,Face to Face,1293Q881236LqRYDI0,17,"Wednesday, March 13, 2024",Roselin Gruszka,TL,246327254
Therapy 1,Therapy-925529,Compound 1,Category1,0029y00000g1RMVAA2,Indication 2,v78TR98995YwR1hIYE,Topic 1,Aspect 3,AL737376,Submitted,VC,1293Q881236LqRYDI0,25,"Thursday, March 28, 2024",Tabbie Baptiste,Others,256828434
Therapy 1,Therapy-925530,Compound 1,Category1,0029y00000g1RMVAA2,Indication 2,v78TR98995YwR1hIYE,Topic 1,Aspect 3,AL737373,Submitted,VC,1293Q881236LqRYDI0,30,"Thursday, March 28, 2024",Harv Peracco,Others,267069180
Therapy 1,Therapy-925531,Compound 2,Category1,0029y00000g1RMVAA2,Indication 1,v78TR98995YwR1mIYE,Topic 1,Aspect 3,AL737370,Submitted,VC,1293Q881236LqRYDI0,7,"Thursday, March 28, 2024",Remus Gunter,Others,225064795
Therapy 1,Therapy-925548,Compound 1,Category1,0029y00000g1VYfAAM,Indication 2,v78TR98995YwR1mIYE,Topic 1,Aspect 1,AL737419,Submitted,Face to Face,1293Q881236LqRYDI0,5,"Thursday, March 28, 2024",Cal Clemencon,TL,232949536
Therapy 1,Therapy-925543,Compound 2,Category1,0029y00000g1LpqAAE,Indication 1,v78TR98995YwR1mIYE,Topic 1,Aspect 3,AL737410,Submitted,Face to Face,1293Q881236LqRYDI0,22,"Thursday, March 28, 2024",Ermina Readman,TL,301816028
Therapy 1,Therapy-925544,Compound 2,Category1,0029y00000g1IPXAA2,Indication 1,v78TR98995YwR3wIYE,Topic 1,Aspect 2,AL737417,Submitted,Telephone,1293Q88123708K2DII,21,"Thursday, March 28, 2024",Euphemia Paget,TL,293172145
Therapy 1,Therapy-925545,Compound 2,Category1,0029y00000g1IPXAA2,Indication 1,v78TR98995YRxKgIYJ,Topic 1,Aspect 2,AL737418,Submitted,Telephone,1293Q881236LqelDIC,8,"Thursday, March 28, 2024",Kimbell Fazzioli,TL,296636824
Therapy 1,Therapy-925567,Compound 2,Category1,0029y00000hON01AAG,Indication 1,v78TR98995YRvRWIYR,Topic 1,Aspect 3,AL737456,Submitted,Face to Face,1293Q881236UtQ9DIK,30,"Friday, March 29, 2024",Creight Goodday,Others,281688338
Therapy 1,Therapy-925570,Compound 2,Category1,0029y00001CSWsKAAX,Indication 2,v78TR98995YRvHlIYJ,Topic 1,Aspect 1,AL737462,Submitted,Face to Face,1293Q881236VMrzDIG,15,"Friday, March 29, 2024",Rhys Creffield,TL,308343142
Therapy 1,Therapy-925150,Compound 2,Category1,0029y00000g1ZwOAAU,Indication 1,v78TR98995YRvEeIYJ,Topic 1,Aspect 1,AL736814,Submitted,VC,1293Q88123708K2DII,7,"Monday, March 18, 2024",Agretha Hubbocks,TL,282320203
Therapy 1,Therapy-925616,Compound 2,Category1,0029y00001PQtJZAA1,Indication 2,v78TR98995YRvDYIYR,Topic 1,Aspect 1,AL737524,Submitted,Face to Face,1293Q881236LqRjDIK,13,"Sunday, March 31, 2024",Nicolai Scoggans,TL,303317771
Therapy 1,Therapy-925599,Compound 2,Category1,0029y00000g1YowAAE,Indication 1,v78TR98995YRuyEIYR,Topic 1,Aspect 3,AL737494,Submitted,Face to Face,1293Q881236LqRjDIK,3,"Saturday, March 30, 2024",Tobin Oakenfull,TL,258489703
Therapy 1,Therapy-925601,Compound 2,Category1,0029y00000g1YowAAE,Indication 1,v78TR98995YRvJVIYR,Topic 1,Aspect 1,AL737495,Submitted,Face to Face,1293Q881236LqRjDIK,23,"Saturday, March 30, 2024",Elane Arkell,TL,289071767
Therapy 1,Therapy-925602,Compound 2,Category1,0029y00000g1IMrAAM,Indication 1,v78TR98995YRvHEIYJ,Topic 1,Aspect 1,AL735209,Submitted,Face to Face,1293Q88123708K2DII,11,"Saturday, March 30, 2024",Jaclyn Maraga,Others,280103085
Therapy 1,Therapy-925607,Compound 2,Category1,0029y00000g1P1TAAU,Indication 1,v78TR98995YRvEeIYJ,Topic 1,Aspect 3,AL737520,Submitted,Face to Face,1293Q881236LqRODI0,3,"Saturday, March 30, 2024",De Brandham,TL,288663355
Therapy 1,Therapy-925609,Compound 2,Category1,0029y00000g1P1TAAU,Indication 1,v78TR98995YRvQ5IYJ,Topic 1,Aspect 3,AL737513,Submitted,Face to Face,1293Q881236LqLDIA0,23,"Saturday, March 30, 2024",Gloria Janjic,TL,259222706
Therapy 1,Therapy-925623,Compound 2,Category1,0029y00000g1GNWAA2,Indication 1,v78TR98995YRvN6IYJ,Topic 1,Aspect 3,AL737573,Submitted,Face to Face,1293Q881236LqRjDIK,27,"Monday, April 1, 2024",Thor Fendley,TL,299012949
Therapy 1,Therapy-925611,Compound 2,Category1,0029y00000g1P1TAAU,Indication 1,v78TR98995YRv48IYE,Topic 1,Aspect 2,AL737523,Submitted,Face to Face,1293Q881236LqLDIA0,19,"Saturday, March 30, 2024",Arleta Bellefonte,TL,308098182
Therapy 1,Therapy-925628,Compound 2,Category1,0029y00000g1GFMAA2,Indication 2,v78TR98995YRvQyIYJ,Topic 1,Aspect 1,AL737527,Submitted,Face to Face,1293Q881236LqRjDIK,7,"Monday, April 1, 2024",Skipper Gaul,Others,307979092
Therapy 1,Therapy-925644,Compound 2,Category1,0029y00001PQtUQAA1,Indication 1,v78TR98995YRvRSIYR,Topic 1,Aspect 1,AL737457,Submitted,Face to Face,1293Q881236LqikDIC,22,"Monday, April 1, 2024",Tabbie Retallack,Others,291022723
Therapy 1,Therapy-925645,Compound 1,Category1,0029y00001PQtUQAA1,Indication 2,v78TR98995YRv9RIYE,Topic 1,Aspect 1,AL737467,Submitted,Face to Face,1293Q881236LqikDIC,25,"Monday, April 1, 2024",Bruis Nolot,Others,268456395
